TitleID,Region,Title versions,Update versions
0004013000001802,KOR,v3072 v4098 v5120 v6144 v7168,4.0.0-7 5.0.0-11 7.0.0-13 8.0.0-18 9.0.0-20
0004013000001802,EUR,v1025 v3072 v4098 v5120 v6144 v7168,2.0.0-2 Initial scan 3.0.0-5 5.0.0-11 7.0.0-13 8.0.0-18 9.0.0-20 (stage3)
0004013000001802,TWN,v3072 v4098 v5120 v6144 v7168,4.1.0-8 5.0.0-11 7.0.0-13 8.0.0-18 9.0.0-20 (stage4)
0004013000001803,CHN,v0,4.0.0-7
0004013000001803,USA,v0,2.0.0-2 Initial scan
0004013000001803,JPN,v0,2.0.0-2 Initial scan
0004013000001803,KOR,v0,4.0.0-7
0004013000001803,EUR,v0,2.0.0-2 Initial scan
0004013000001803,TWN,v0,4.1.0-8
0004013000001A02,CHN,v2048 v3074 v4096 v5120 v6145,4.0.0-7 5.0.0-11 6.0.0-11 8.0.0-18 9.7.0-25
0004013000001A02,USA,v0 v1024 v2048 v3074 v4096 v5120 v6145,2.0.0-2 Initial scan 3.0.0-5 4.0.0-7 5.0.0-11 6.0.0-11 8.0.0-18 9.7.0-25
0004013000001A02,JPN,v0 v1024 v2048 v3074 v4096 v5120 v6145,2.0.0-2 Initial scan 3.0.0-5 4.0.0-7 5.0.0-11 6.0.0-11 8.0.0-18 9.7.0-25
0004013000001A02,KOR,v2048 v3074 v4096 v5120 v6145,4.0.0-7 5.0.0-11 6.0.0-11 8.0.0-18 9.7.0-25
0004013000001A02,EUR,v0 v1024 v2048 v3074 v4096 v5120 v6145,2.0.0-2 Initial scan 3.0.0-5 4.0.0-7 5.0.0-11 6.0.0-11 8.0.0-18 9.7.0-25
0004013000001A02,TWN,v2048 v3074 v4096 v5120 v6145,4.1.0-8 5.0.0-11 6.0.0-11 8.0.0-18 9.7.0-25
0004013000001A03,CHN,v0,4.0.0-7
0004013000001A03,USA,v0,2.0.0-2 Initial scan
0004013000001A03,JPN,v0,2.0.0-2 Initial scan
0004013000001A03,KOR,v0,4.0.0-7
0004013000001A03,EUR,v0,2.0.0-2 Initial scan
0004013000001A03,TWN,v0,4.1.0-8
0004013000001B02,CHN,v0 v1025 v2048 v3073,4.0.0-7 5.0.0-11 8.0.0-18 9.5.0-22
0004013000001B02,USA,v0 v1025 v2048 v3073,2.0.0-2 Initial scan 5.0.0-11 8.0.0-18 9.5.0-22 USA
0004013000001B02,JPN,v0 v1025 v2048 v3073,2.0.0-2 Initial scan 5.0.0-11 8.0.0-18 9.5.0-22 JPN
0004013000001B02,KOR,v0 v1025 v2048 v3073,4.0.0-7 5.0.0-11 8.0.0-18 9.5.0-22
0004013000001B02,EUR,v0 v1025 v2048 v3073,2.0.0-2 Initial scan 5.0.0-11 8.0.0-18 9.5.0-22 EUR
0004013000001B02,TWN,v0 v1025 v2048 v3073,4.1.0-8 5.0.0-11 8.0.0-18 9.5.0-22
0004013000001B03,CHN,v0,4.0.0-7
0004013000001B03,USA,v0,2.0.0-2 Initial scan
0004013000001B03,JPN,v0,2.0.0-2 Initial scan
